Vgs,Vds,Ids
0.4954545454545455,0.18181818181818182,0.0002913383482926456
0.4954545454545455,0.19191919191919193,0.00030752381208668146
0.4954545454545455,0.20202020202020204,0.00032370927588071735
0.4954545454545455,0.21212121212121213,0.0003398947396747532
0.4954545454545455,0.22222222222222224,0.00035608020346878906
0.4954545454545455,0.23232323232323235,0.0003722656672628249
0.4954545454545455,0.24242424242424243,0.0003884511310568608
0.4954545454545455,0.25252525252525254,0.0004046365948508966
0.4954545454545455,0.26262626262626265,0.0004208220586449325
0.4954545454545455,0.27272727272727276,0.0004370075224389684
0.4954545454545455,0.2828282828282829,0.0004531929862330043
0.4954545454545455,0.29292929292929293,0.00046937845002704005
0.4954545454545455,0.30303030303030304,0.00048556391382107594
0.4954545454545455,0.31313131313131315,0.0005017493776151118
